predictor_set,predictor_label,seed,auc_pooled,auc_within_groups,auc_cross_groups,n_within_pairs,n_cross_pairs,n_total_pairs,share_within_pairs,share_cross_pairs
prevalence_only,prevalence-only baseline,64,0.9548417132216016,0.19666666666666666,0.9766283524904215,150,5220,5370,0.027932960893854747,0.9720670391061452
prevalence_only,prevalence-only baseline,65,0.9593109869646184,0.30333333333333334,0.9781609195402299,150,5220,5370,0.027932960893854747,0.9720670391061452
prevalence_only,prevalence-only baseline,66,0.959683426443203,0.29,0.9789272030651341,150,5220,5370,0.027932960893854747,0.9720670391061452
prevalence_only,prevalence-only baseline,67,0.9549348230912478,0.2,0.9766283524904215,150,5220,5370,0.027932960893854747,0.9720670391061452
prevalence_only,prevalence-only baseline,68,0.9561452513966481,0.22333333333333333,0.9772030651340996,150,5220,5370,0.027932960893854747,0.9720670391061452
prevalence_only,prevalence-only baseline,69,0.9560521415270019,0.22,0.9772030651340996,150,5220,5370,0.027932960893854747,0.9720670391061452
prevalence_only,prevalence-only baseline,70,0.9605214152700187,0.3,0.9795019157088123,150,5220,5370,0.027932960893854747,0.9720670391061452
prevalence_only,prevalence-only baseline,71,0.9621973929236499,0.35333333333333333,0.9796934865900383,150,5220,5370,0.027932960893854747,0.9720670391061452
prevalence_only,prevalence-only baseline,72,0.9595903165735569,0.2733333333333333,0.9793103448275862,150,5220,5370,0.027932960893854747,0.9720670391061452
prevalence_only,prevalence-only baseline,73,0.954562383612663,0.2,0.9762452107279693,150,5220,5370,0.027932960893854747,0.9720670391061452
prevalence_only,prevalence-only baseline,74,0.9606145251396648,0.30333333333333334,0.9795019157088123,150,5220,5370,0.027932960893854747,0.9720670391061452
prevalence_only,prevalence-only baseline,75,0.9558659217877096,0.22666666666666666,0.9768199233716475,150,5220,5370,0.027932960893854747,0.9720670391061452
prevalence_only,prevalence-only baseline,76,0.9529795158286779,0.15666666666666668,0.9758620689655172,150,5220,5370,0.027932960893854747,0.9720670391061452
prevalence_only,prevalence-only baseline,77,0.9647113594040969,0.37,0.9818007662835249,150,5220,5370,0.027932960893854747,0.9720670391061452
prevalence_only,prevalence-only baseline,78,0.9564245810055867,0.24,0.9770114942528736,150,5220,5370,0.027932960893854747,0.9720670391061452
prevalence_only,prevalence-only baseline,79,0.9626629422718809,0.3433333333333333,0.9804597701149426,150,5220,5370,0.027932960893854747,0.9720670391061452
prevalence_only,prevalence-only baseline,80,0.9541899441340783,0.18666666666666668,0.9762452107279693,150,5220,5370,0.027932960893854747,0.9720670391061452
prevalence_only,prevalence-only baseline,81,0.9540037243947859,0.18666666666666668,0.9760536398467433,150,5220,5370,0.027932960893854747,0.9720670391061452
prevalence_only,prevalence-only baseline,82,0.9599627560521415,0.29333333333333333,0.9791187739463602,150,5220,5370,0.027932960893854747,0.9720670391061452
prevalence_only,prevalence-only baseline,83,0.9589385474860336,0.27,0.978735632183908,150,5220,5370,0.027932960893854747,0.9720670391061452
prevalence_only,prevalence-only baseline,84,0.9550279329608939,0.20333333333333334,0.9766283524904215,150,5220,5370,0.027932960893854747,0.9720670391061452
prevalence_only,prevalence-only baseline,85,0.9630353817504655,0.33,0.9812260536398467,150,5220,5370,0.027932960893854747,0.9720670391061452
prevalence_only,prevalence-only baseline,86,0.9552141527001863,0.22333333333333333,0.9762452107279693,150,5220,5370,0.027932960893854747,0.9720670391061452
prevalence_only,prevalence-only baseline,87,0.9565176908752329,0.24333333333333335,0.9770114942528736,150,5220,5370,0.027932960893854747,0.9720670391061452
prevalence_only,prevalence-only baseline,88,0.958659217877095,0.26,0.978735632183908,150,5220,5370,0.027932960893854747,0.9720670391061452
prevalence_only,prevalence-only baseline,89,0.9570763500931099,0.22333333333333333,0.9781609195402299,150,5220,5370,0.027932960893854747,0.9720670391061452
prevalence_only,prevalence-only baseline,90,0.9607076350093111,0.30666666666666664,0.9795019157088123,150,5220,5370,0.027932960893854747,0.9720670391061452
prevalence_only,prevalence-only baseline,91,0.9490689013035382,0.12333333333333334,0.9727969348659004,150,5220,5370,0.027932960893854747,0.9720670391061452
